id,promise,title
1,1,"적폐청산"
2,1,"권력기관 개혁"
3,1,"정치, 선거제도 개혁"
4,2,"경제민주화"
5,3,"민주 인권 회복"
6,4,"일자리 창출"
7,4,"비정규직 감축 및 처우개선"
8,4,"노동존중 사회 실현"
9,5,"미래성장동력 확충"
10,5,"제조업 부흥과 주력산업 경쟁력 강화"
11,5,"중소, 중견기업 육성"
12,5,"과학기술(R&D) 진흥"
13,6,"지방분권 강화 및 균형발전"
14,6,"살기 좋은 농산어촌"
15,7,"저출산, 고령화 대책"
16,8,"빈곤탈출, 의료비 경감"
17,8,"주거 문제 해소"
18,8,"사회적 차별 해소 및 약자 지원"
19,8,"생활비 절감"
20,8,"국민 휴식권 보장"
21,8,"교육의 국가책임 강화"
22,9,"책임국방"
23,9,"국익우선 협력외교"
24,9,"평화통일"
25,10,"자연, 사회적 재해, 재난 예방"
26,10,"생활안전 강화"
27,11,"성평등한 대한민국"
28,11,"지속가능한 대한민국"
29,12,"문화, 예술, 체육"
30,12,"언론"