id,category,title
1,1,박근혜·최순실 국정농단 적폐를 청산하겠습니다
2,1,반부패 개혁으로 국가 경쟁력을 선진국 수준으로 높이겠습니다
3,1,"이명박·박근혜 정권 9년의 적폐, 문화계 블랙리스트를 청산하겠습니다"
4,1,국정역사교과서를 폐지하고 교육의 민주주의를 회복하겠습니다
5,1,방위사업 비리를 척결하겠습니다
6,1,적재적소의 인사로 신뢰받는 공직사회를 만들겠습니다
7,1,K스포츠 · 미르재단 정경유착 비리가 발생하지 않도록 「시민공익위원회」가 감시하겠습니다
8,1,"기능을 다한 1987년 헌법 개정으로, 새 시대의 헌법을 열겠습니다"
9,2,"권력 눈치 안 보는, 성역 없는 수사기관을 만들겠습니다"
10,2,경찰을 민주 · 안전 · 민생 경찰로 탈바꿈 시키겠습니다
11,2,"감사원 눈치 · 부실감사, 이제는 끝내겠습니다"
12,2,군사법 개혁으로 군 장병의 공정한 재판과 인권을 보장하겠습니다
13,2,정치댓글·정치사찰의 국정원을 국민의 '해외안보정보원'으로 개편하겠습니다
14,2,365일 국민과 소통하는 열린 대통령이 되겠습니다
15,2,"열린 정부, 서비스하는 행정을 구현하겠습니다"
16,3,18세로 선거 연령 인하 등 국민의 참정권을 확대하겠습니다
17,3,소외받는 국민의 없도록 공직선거제도를 개편하겠습니다
18,3,국민 누구나 자유롭게 정치에 참여할 수 있게 하겠습니다
19,3,"투명한 국회, 국민의 국회 만들겠습니다"